98520229	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 2º N.- S/ HM	01817749000199
98520237	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 3º N. – S/HM	01817749000199
98520253	PACOTE DE DESCOMPRESSÃO LOMBAR - INDEPENDENTE DO NÍVEL - SEM HM	01817749000199
98520245	PACOTE DE DESCOMPRESSÃO CERVICAL - INDEPENDENTE DO NÍVEL	01817749000199
98520261	PACOTE DE RIZOTOMIA - SEM HM	01817749000199
98520296	PACOTE INFILTRAÇÃO DE COLUNA (DOR AXIAL E/OU RADICULAR) -	01817749000199
98520016	PACOTE - PUNÇÃO ARTICULAR OU EXTRA-ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA (INFILTRAÇÃO)	01817749000199
98520300	PACOTE DE CIRURGIA ENDOSCÓPICA DA COLUNA - SEM HM	01817749000199
98520270	PACOTE DE DISCECTOMIA PERCUTÂNEA	01817749000199
98670212	HERNIA DE DISCO - Independente da quantidade de nível	01817749000199
98520288	PACOTE ARTROPLASTIA DE QUADRIL	02284062000106
98520032	PACOTE DE ARTROPLASTIA DE JOELHO	02284062000106
98520075	PACOTE DE ARTROSCOPIA OMBRO (LESÃO POR INSTABILIDADE DO OMBRO) - SEM HM	02284062000106
98520113	PACOTE DE LESÃO AGUDA LIGAMENTO DE JOELHO - SEM HM	02284062000106
98520121	PACOTE DE LESÃO DE TENDÃO DO OMBRO - SEM HM	02284062000106
98520148	PACOTE DE MENISCECTOMIA - UM MENISCO - SEM HM	02284062000106
98520180	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 1º NIVEL - SEM HM	02284062000106
98520199	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 2º NIVEL - SEM HM	02284062000106
98520202	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 3º NIVEL - SEM HM	02284062000106
98520210	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 1º N.– S/HM	02284062000106
98520229	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 2º N.- S/ HM	02284062000106
98520237	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 3º N. – S/HM	02284062000106
98520253	PACOTE DE DESCOMPRESSÃO LOMBAR - INDEPENDENTE DO NÍVEL - SEM HM	02284062000106
98520245	PACOTE DE DESCOMPRESSÃO CERVICAL - INDEPENDENTE DO NÍVEL	02284062000106
98520261	PACOTE DE RIZOTOMIA - SEM HM	02284062000106
98520296	PACOTE INFILTRAÇÃO DE COLUNA (DOR AXIAL E/OU RADICULAR) -	02284062000106
98520016	PACOTE - PUNÇÃO ARTICULAR OU EXTRA-ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA (INFILTRAÇÃO)	02284062000106
98520300	PACOTE DE CIRURGIA ENDOSCÓPICA DA COLUNA - SEM HM	02284062000106
98520270	PACOTE DE DISCECTOMIA PERCUTÂNEA	02284062000106
98670212	HERNIA DE DISCO - Independente da quantidade de nível	02284062000106
98520180	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 1º NIVEL - SEM HM	02284062000440
98520199	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 2º NIVEL - SEM HM	02284062000440
98520202	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 3º NIVEL - SEM HM	02284062000440
98520210	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 1º N.– S/HM	02284062000440
98520229	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 2º N.- S/ HM	02284062000440
98520237	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 3º N. – S/HM	02284062000440
98520296	PACOTE INFILTRAÇÃO DE COLUNA (DOR AXIAL E/OU RADICULAR) - TUSS 40813363	02284062000440
98520300	PACOTE DE CIRURGIA ENDOSCÓPICA DA COLUNA - SEM HM	02284062000440
98520261	PACOTE DE RIZOTOMIA - SEM HM	02284062000440
98520270	PACOTE DE DISCECTOMIA PERCUTÂNEA	02284062000440
98520253	PACOTE DE DESCOMPRESSÃO LOMBAR - INDEPENDENTE DO NÍVEL - SEM HM	02284062000440
98520288	PACOTE ARTROPLASTIA DE QUADRIL	02284062000440
98520032	PACOTE DE ARTROPLASTIA DE JOELHO	02284062000440
98520113	PACOTE DE LESÃO AGUDA LIGAMENTO DE JOELHO - SEM HM	02284062000440
98520148	PACOTE DE MENISCECTOMIA - UM MENISCO - SEM HM	02284062000440
98520121	PACOTE DE LESÃO DE TENDÃO DO OMBRO - SEM HM	02284062000440
98520075	PACOTE DE ARTROSCOPIA OMBRO (LESÃO POR INSTABILIDADE DO OMBRO) - SEM HM	02284062000440
98520016	PACOTE - PUNÇÃO ARTICULAR OU EXTRA-ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA (INFILTRAÇÃO)	02284062000440
98670212	PACOTE - Hérnia de Disco - Independente da quantidade de níveis - sem hm	02284062000440
98520288	PACOTE ARTROPLASTIA DE QUADRIL	02284062000521
98520032	PACOTE DE ARTROPLASTIA DE JOELHO	02284062000521
98520075	PACOTE DE ARTROSCOPIA OMBRO (LESÃO POR INSTABILIDADE DO OMBRO) - SEM HM	02284062000521
98520113	PACOTE DE LESÃO AGUDA LIGAMENTO DE JOELHO - SEM HM	02284062000521
98520121	PACOTE DE LESÃO DE TENDÃO DO OMBRO - SEM HM	02284062000521
98520148	PACOTE DE MENISCECTOMIA - UM MENISCO - SEM HM	02284062000521
98520180	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 1º NIVEL - SEM HM	02284062000521
98520199	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 2º NIVEL - SEM HM	02284062000521
98520202	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 3º NIVEL - SEM HM	02284062000521
98520210	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 1º N.– S/HM	02284062000521
98520229	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 2º N.- S/ HM	02284062000521
98520237	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 3º N. – S/HM	02284062000521
98520253	PACOTE DE DESCOMPRESSÃO LOMBAR - INDEPENDENTE DO NÍVEL - SEM HM	02284062000521
98520245	PACOTE DE DESCOMPRESSÃO CERVICAL - INDEPENDENTE DO NÍVEL	02284062000521
98520261	PACOTE DE RIZOTOMIA - SEM HM	02284062000521
98520296	PACOTE INFILTRAÇÃO DE COLUNA (DOR AXIAL E/OU RADICULAR) -	02284062000521
98520016	PACOTE - PUNÇÃO ARTICULAR OU EXTRA-ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA (INFILTRAÇÃO)	02284062000521
98520300	PACOTE DE CIRURGIA ENDOSCÓPICA DA COLUNA - SEM HM	02284062000521
98520270	PACOTE DE DISCECTOMIA PERCUTÂNEA	02284062000521
98670212	HERNIA DE DISCO - Independente da quantidade de nível	02284062000521
98520180	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 1º NIVEL - SEM HM	02284062001170
98520199	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 2º NIVEL - SEM HM	02284062001170
98520202	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 3º NIVEL - SEM HM	02284062001170
98520210	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 1º N.– S/HM	02284062001170
98520229	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 2º N.- S/ HM	02284062001170
98520237	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 3º N. – S/HM	02284062001170
98520296	PACOTE INFILTRAÇÃO DE COLUNA (DOR AXIAL E/OU RADICULAR) - TUSS 40813363	02284062001170
98520300	PACOTE DE CIRURGIA ENDOSCÓPICA DA COLUNA - SEM HM	02284062001170
98520261	PACOTE DE RIZOTOMIA - SEM HM	02284062001170
98520270	PACOTE DE DISCECTOMIA PERCUTÂNEA	02284062001170
98520253	PACOTE DE DESCOMPRESSÃO LOMBAR - INDEPENDENTE DO NÍVEL - SEM HM	02284062001170
98520288	PACOTE ARTROPLASTIA DE QUADRIL	02284062001170
98520032	PACOTE DE ARTROPLASTIA DE JOELHO	02284062001170
98520113	PACOTE DE LESÃO AGUDA LIGAMENTO DE JOELHO - SEM HM	02284062001170
98520148	PACOTE DE MENISCECTOMIA - UM MENISCO - SEM HM	02284062001170
98520121	PACOTE DE LESÃO DE TENDÃO DO OMBRO - SEM HM	02284062001170
98520075	PACOTE DE ARTROSCOPIA OMBRO (LESÃO POR INSTABILIDADE DO OMBRO) - SEM HM	02284062001170
98520016	PACOTE - PUNÇÃO ARTICULAR OU EXTRA-ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA (INFILTRAÇÃO)	02284062001170
98670212	PACOTE - Hérnia de Disco - Independente da quantidade de níveis - sem hm	02284062001170
98520288	PACOTE ARTROPLASTIA DE QUADRIL	02284062001765
98520032	PACOTE DE ARTROPLASTIA DE JOELHO	02284062001765
98520075	PACOTE DE ARTROSCOPIA OMBRO (LESÃO POR INSTABILIDADE DO OMBRO) - SEM HM	02284062001765
98520113	PACOTE DE LESÃO AGUDA LIGAMENTO DE JOELHO - SEM HM	02284062001765
98520121	PACOTE DE LESÃO DE TENDÃO DO OMBRO - SEM HM	02284062001765
98520148	PACOTE DE MENISCECTOMIA - UM MENISCO - SEM HM	02284062001765
98520180	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 1º NIVEL - SEM HM	02284062001765
98520199	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 2º NIVEL - SEM HM	02284062001765
98520202	PACOTE DE CIRURGIA DE COLUNA CERVICAL C/ARTRODESE - 3º NIVEL - SEM HM	02284062001765
98520210	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 1º N.– S/HM	02284062001765
98520229	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 2º N.- S/ HM	02284062001765
98520237	PACOTE DE CIRURGIA DE COLUNA DORSAL OU LOMBAR COM ARTRODESE 3º N. – S/HM	02284062001765
98520253	PACOTE DE DESCOMPRESSÃO LOMBAR - INDEPENDENTE DO NÍVEL - SEM HM	02284062001765
98520245	PACOTE DE DESCOMPRESSÃO CERVICAL - INDEPENDENTE DO NÍVEL	02284062001765
98520261	PACOTE DE RIZOTOMIA - SEM HM	02284062001765
98520296	PACOTE INFILTRAÇÃO DE COLUNA (DOR AXIAL E/OU RADICULAR) -	02284062001765
98520016	PACOTE - PUNÇÃO ARTICULAR OU EXTRA-ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA (INFILTRAÇÃO)	02284062001765
98520300	PACOTE DE CIRURGIA ENDOSCÓPICA DA COLUNA - SEM HM	02284062001765
98520270	PACOTE DE DISCECTOMIA PERCUTÂNEA	02284062001765
98670212	HERNIA DE DISCO - Independente da quantidade de nível	02284062001765
98520032	PACOTE DE ARTROPLASTIA DE JOELHO (ARTHRON) - SEM HM	02434658000137
