60922168000771	ASSOCIACAO CONGREGACAO DE SANTA CATARINA (SP)
61879813000198	HOSPITAL DE CLINICAS ANTONIO AFONSO LTDA.
62779145000190	HOSPITAL SANTA ISABEL
72576143000157	HOSPITAL ANCHIETA CEILANDIA
76555069000143	HOSPITAL SANTA CRUZ
76555069000224	HOSPITAL ALPHA-MED LTDA - HOSPITAL CENTRAL OESTE
77265361000194	Hospital Parana Marimed Servicos Medicos S/A
92238914000294	ASSOCIACAO PELOTENSE DE ASSISTENCIA E CULTURA (APAC)
96792254000169	HOSPITAL DE OLHOS BEIRA RIO
96792254000170	HOSPITAL DE OLHOS BEIRA RIO
96792254000171	HOSPITAL DE OLHOS BEIRA RIO
96792254000172	HOSPITAL DE OLHOS BEIRA RIO
96792254000173	HOSPITAL DE OLHOS BEIRA RIO
96792254000174	HOSPITAL DE OLHOS BEIRA RIO
96792254000175	HOSPITAL DE OLHOS BEIRA RIO
96792254000176	HOSPITAL DE OLHOS BEIRA RIO
96792254000177	HOSPITAL DE OLHOS BEIRA RIO
96792254000178	HOSPITAL DE OLHOS BEIRA RIO
